"","SOC_CODE","EMPLOYER_STATE","EMPLOYER_NAME","frequency"
"1",11,"AK","NORTHERN STAR (POGO) LLC",6
"2",11,"AK","ARCTIC SLOPE REGIONAL CORPORATION",1
"3",11,"AK","ASRC ENERGY SERVICES, LLC",1
"4",11,"AK","FRONTIER MEDIA LLC",1
"5",11,"AK","LAKE CLARK AIR, INC",1
"6",11,"AK","RYAN AIR, INC",1
"7",11,"AL","PURE PERFORMANCE, LLC",3
"8",11,"AL","THE UNIVERSITY OF ALABAMA AT BIRMINGHAM",3
"9",11,"AL","HIGHLANDS UNITED METHODIST CHURCH",2
"10",11,"AL","KELLEY'S WELDING EXCAVATION INC",2
"11",11,"AL","NORTON LILLY INTERNATIONAL, INC",2
"12",11,"AL","WIRELESS TIME, LLC",2
"13",11,"AR","WAL-MART ASSOCIATES, INC",46
"14",11,"AR","FEDERAL SOFT SYSTEMS INC",2
"15",11,"AR","KITESTRING CONSULTING INC",2
"16",11,"AR","RPM UNDERWOOD-MELTON",2
"17",11,"AR","UNIVERSITY OF CENTRAL ARKANSAS",2
"18",11,"AZ","AXWAY, INC",6
"19",11,"AZ","MADD GEAR LLC",5
"20",11,"AZ","ARIZONA STATE UNIVERSITY",4
"21",11,"AZ","GODADDY.COM, LLC",4
"22",11,"AZ","INTRAEDGE, INC",4
"23",11,"CA","FACEBOOK, INC",253
"24",11,"CA","GOOGLE LLC",192
"25",11,"CA","APPLE INC",158
"26",11,"CA","SALESFORCE.COM, INC",122
"27",11,"CA","LINKEDIN CORPORATION",113
"28",11,"CO","FIVE RIVERS CATTLE FEEDING, LLC",23
"29",11,"CO","ARROW ELECTRONICS INC",15
"30",11,"CO","CHARLES SCHWAB AND COMPANY, INC",10
"31",11,"CO","HP INC",9
"32",11,"CO","ARCADIS U.S., INC",8
"33",11,"CT","AETNA RESOURCES LLC",16
"34",11,"CT","GARTNER, INC",7
"35",11,"CT","SILVER HARBOR, LLC",7
"36",11,"CT","PITNEY BOWES INC",5
"37",11,"CT","ADPI, LLC",4
"38",11,"CT","EVARIANT, INC",4
"39",11,"CT","PERMASTEELISA NORTH AMERICA CORP",4
"40",11,"CT","REMEDY BPCI PARTNERS LLC",4
"41",11,"CT","STANLEY BLACK DECKER, INC",4
